[1151,107]
[340,139]
[1716,68]
[1316,897]
[866,333]
[1628,143]
[1199,449]
[1299,357]
[352,521]
[1177,676]
[1304,690]
[332,7]
[1060,141]
[646,229]
[1044,65]
[1744,795]
[319,31]
[1051,259]
[789,695]
[313,716]
[1767,458]
[475,128]
[261,728]
[606,444]
[1279,474]
[1553,958]
[1305,398]
[1396,318]
[988,282]
[1307,759]
[1542,838]
[1326,720]
[507,753]
[209,767]
[1702,656]
[513,394]
[587,947]
[1046,959]
[227,81]
[1024,199]
[99,27]
[973,270]
[83,884]
[941,97]
[1774,496]
[820,284]
[506,655]
[237,363]
[749,257]
[689,336]
[1375,349]
[1372,712]
[352,823]
[743,432]
[891,863]
[1818,746]
[1400,604]
[1189,137]
[619,33]
[1550,537]
[98,543]
[47,233]
[337,252]
[1319,848]
[1470,520]
[1615,294]
[179,507]
[1173,516]
[509,111]
[201,310]
[882,196]
[1128,666]
[471,953]
[1414,655]
[840,637]
[1473,227]
[484,636]
[72,181]
[910,901]
[806,767]
[374,77]
[959,797]
[491,182]
[1477,400]
[1405,274]
[193,466]
[390,158]
[1698,357]
[1726,255]
[767,231]
[91,96]
[480,746]
[1192,522]
[1589,29]
[386,537]
[1451,968]
[1206,557]
[881,468]
[658,358]
[233,903]
[826,391]
[625,184]
[323,145]
[357,938]
[980,678]
[1391,7]
[1507,619]
[1317,541]
[1303,615]
[1717,91]
[464,673]
[702,371]
[1659,924]
[28,962]
[739,148]
[1530,447]
[42,626]
[1278,29]
[7,206]
[529,961]
[429,249]
[975,519]
[1025,487]
[505,85]
[1755,538]
[794,451]
[1063,710]
[919,498]
[84,700]
[239,109]
[1485,542]
[1460,753]
[306,86]
[635,201]
[178,767]
[513,34]
[1723,557]
[522,420]
[1336,599]
[1390,255]
[640,940]
[259,624]
[1788,139]
[1590,589]
[1519,941]
[1519,325]
[754,22]
[568,392]
[645,147]
[1547,308]
[1717,519]
[643,764]
[616,23]
[524,442]
[1512,868]
[331,275]
[347,177]
[1238,226]
[1691,551]
[1614,244]
[552,806]
[1362,728]
[878,744]
[1583,480]
[984,269]
[381,110]
[1369,318]
[841,736]
[347,368]
[1691,683]
[1241,181]
[1201,143]
[483,561]
[813,446]
[88,331]
[1251,30]
[705,707]
[382,21]
[1457,753]
[188,636]
[455,688]
[326,892]
[632,25]
[575,17]
[1522,862]
[1457,52]
[1448,303]
[118,605]
[337,348]
[873,238]
[1143,341]
[533,672]
[1103,723]
[891,416]
[1559,325]
[207,773]
[1433,475]
[1130,296]
[1364,467]
[1351,728]
[973,284]
[1532,542]
[802,296]
[1719,347]
[949,500]
[1675,764]
[804,904]
[1275,883]
[1312,836]
[599,542]
[620,479]
[1766,920]
[1115,153]
[53,22]
[1781,237]
[1417,532]
[1269,14]
[30,48]
[232,620]
[406,754]
[1222,899]
[98,861]
[1330,937]
[1749,374]
[104,550]
[1206,763]
[1175,630]
[1311,183]
[1230,318]
[908,936]
[20,363]
[431,514]
[1747,119]
[291,384]
[814,726]
[1631,713]
[687,291]
[927,354]
[1480,409]
[1015,779]
[65,797]
[445,339]
[300,885]
[285,896]
[1166,941]
[1100,160]
[569,302]
[693,283]
[408,953]
[1009,366]
[894,167]
[103,450]
[1723,772]
[1399,482]
[1741,588]
[483,597]
[359,858]
[1359,128]
[945,44]
[411,408]
[1775,944]
[1429,733]
[1132,466]
[761,880]
[440,855]
[1033,547]
[117,746]
[452,178]
[803,498]
[98,753]
[203,519]
[243,485]
[210,381]
[97,177]
[111,708]
[138,271]
[38,210]
[687,3]
[1582,964]
[1802,564]
[1742,776]
[942,845]
[1348,187]
[1724,768]
[1530,212]
[1708,379]
[265,717]
[1315,339]
[156,66]
[295,322]
[1715,4]
[525,436]
[1143,483]
[1378,371]
[49,412]
[1217,768]
[1294,702]
[650,358]
[429,755]
[1303,406]
[414,821]
[1578,262]
[312,231]
[1648,253]
[1541,783]
[1176,301]
[58,736]
[144,670]
[816,607]
[660,32]
[1580,309]
[161,285]
[1653,922]
[1802,832]
[670,960]
[1610,672]
[31,64]
[436,135]
[571,187]
[277,552]
[921,5]
[79,675]
[1227,933]
[110,784]
[133,921]
[87,897]
[1335,576]
[274,78]
[1385,185]
[406,136]
[1808,822]
[833,290]
[601,283]
[466,913]
[371,354]
[1090,343]
[1790,412]
[1070,447]
[671,573]
[1326,327]
[676,9]
[1472,238]
[336,543]
[1221,612]
[736,288]
[1573,685]
[221,765]
[422,75]
[518,109]
[366,846]
[107,498]
[607,30]
[1264,795]
[1561,426]
[447,140]
[346,363]
[717,390]
[454,335]
[243,941]
[177,289]
[1582,516]
[1698,655]
[258,917]
[803,56]
[1067,306]
[1058,852]
[1703,464]
[199,809]
[179,118]
[1488,631]
[217,490]
[1644,360]
[435,564]
[389,647]
[574,420]
[1263,656]
[1303,443]
[1733,645]
[1398,142]
[466,243]
[1041,691]
[1525,283]
[740,604]
[304,776]
[615,958]
[692,743]
[17,343]
[1542,803]
[820,156]
[1053,7]
[1146,815]
[1535,237]
[1271,469]
[690,632]
[374,583]
[944,214]
[574,283]
[1596,932]
[801,94]
[716,668]
